FlangeLength,web_length,lip_Length,Thickness,Yeild_strength,Area_of_cross_section,P,Mxx,Myy,J,X(center_of_gravity),Y(center_of_gravity),Ixx,Iyy,Ixy,θ,I11,I22,Xs,Zs,Cw,β1,Local_factor,Distortional_factor,Global_factor,DSM
2.36,4.72,0.585,0.078,36.25,0.82758,29.9998,20.1558,11.8877,0.0016783,2.36,2.36,3.1267,1.1918,1.4705,-28.3296,3.9195,0.399,2.36,2.36,4.3175,0.0,1.3477,1.445,1.0782,109.37
2.36,4.72,0.585,0.078,39.16,0.82758,32.408,21.7738,12.842,0.0016783,2.36,2.36,3.1267,1.1918,1.4705,-28.3296,3.9195,0.399,2.36,2.36,4.3175,0.0,1.2476,1.3376,0.99805,114.52
2.36,4.72,0.585,0.078,43.5,0.82758,35.9997,24.187,14.2653,0.0016783,2.36,2.36,3.1267,1.1918,1.4705,-28.3296,3.9195,0.399,2.36,2.36,4.3175,0.0,1.1231,1.2042,0.89848,121.43
2.36,4.72,0.585,0.078,50.7,0.82758,41.9583,28.1904,16.6264,0.0016783,2.36,2.36,3.1267,1.1918,1.4705,-28.3296,3.9195,0.399,2.36,2.36,4.3175,0.0,0.966362,1.0332,0.77088,131.03
2.36,4.72,0.585,0.078,58.01,0.82758,48.0079,32.2549,19.0236,0.0016783,2.36,2.36,3.1267,1.1918,1.4705,-28.3296,3.9195,0.399,2.36,2.36,4.3175,0.0,0.84219,0.90297,0.67374,136.15
2.36,4.72,0.585,0.078,65.26,0.82758,54.0079,36.286,21.4012,0.0016783,2.36,2.36,3.1267,1.1918,1.4705,-28.3296,3.9195,0.399,2.36,2.36,4.3175,0.0,0.74863,0.80265,0.59889,139.95
2.36,4.72,0.585,0.078,72.51,0.82758,60.0078,40.3172,23.7787,0.0016783,2.36,2.36,3.1267,1.1918,1.4705,-28.3296,3.9195,0.399,2.36,2.36,4.3175,0.0,0.67377,0.7224,0.53901,142.63
2.36,4.72,0.585,0.078,79.77,0.82758,66.0161,44.3539,26.1596,0.0016783,2.36,2.36,3.1267,1.1918,1.4705,-28.3296,3.9195,0.399,2.36,2.36,4.3175,0.0,0.61245,0.65665,0.48996,144.37
2.36,4.72,0.585,0.098,36.25,1.0398,37.692,25.324,14.9359,0.0033287,2.36,2.36,3.9284,1.4974,1.8476,-28.3296,4.9245,0.50131,2.36,2.36,5.4246,0.0,2.1173,1.9315,1.5461,123.0
2.36,4.72,0.585,0.098,39.16,1.0398,40.7178,27.3569,16.1349,0.0033287,2.36,2.36,3.9284,1.4974,1.8476,-28.3296,4.9245,0.50131,2.36,2.36,5.4246,0.0,1.96,1.788,1.4312,130.02
2.36,4.72,0.585,0.098,43.5,1.0398,45.2304,30.3888,17.923,0.0033287,2.36,2.36,3.9284,1.4974,1.8476,-28.3296,4.9245,0.50131,2.36,2.36,5.4246,0.0,1.7644,1.6096,1.2884,139.82
2.36,4.72,0.585,0.098,50.7,1.0398,52.7168,35.4186,20.8896,0.0033287,2.36,2.36,3.9284,1.4974,1.8476,-28.3296,4.9245,0.50131,2.36,2.36,5.4246,0.0,1.5138,1.381,1.1055,154.43
2.36,4.72,0.585,0.098,58.01,1.0398,60.3176,40.5254,23.9015,0.0033287,2.36,2.36,3.9284,1.4974,1.8476,-28.3296,4.9245,0.50131,2.36,2.36,5.4246,0.0,1.3231,1.207,0.96615,167.31
2.36,4.72,0.585,0.098,65.26,1.0398,67.856,45.5902,26.8887,0.0033287,2.36,2.36,3.9284,1.4974,1.8476,-28.3296,4.9245,0.50131,2.36,2.36,5.4246,0.0,1.1761,1.0729,0.85882,178.3
2.36,4.72,0.585,0.098,72.51,1.0398,75.3944,50.655,29.8759,0.0033287,2.36,2.36,3.9284,1.4974,1.8476,-28.3296,4.9245,0.50131,2.36,2.36,5.4246,0.0,1.0585,0.96562,0.77295,187.67
2.36,4.72,0.585,0.098,79.77,1.0398,82.9433,55.7267,32.8671,0.0033287,2.36,2.36,3.9284,1.4974,1.8476,-28.3296,4.9245,0.50131,2.36,2.36,5.4246,0.0,0.9217,0.87774,0.7026,195.56
2.36,4.72,0.585,0.118,36.25,1.252,45.3843,30.4921,17.984,0.0058109,2.36,2.36,4.7301,1.803,2.2247,-28.3296,5.9295,0.60361,2.36,2.36,6.5316,0.0,3.7364,2.3842,1.552,123.13
2.36,4.72,0.585,0.118,39.16,1.252,49.0275,32.9399,19.4277,0.0058109,2.36,2.36,4.7301,1.803,2.2247,-28.3296,5.9295,0.60361,2.36,2.36,6.5316,0.0,2.8247,2.2071,1.4367,130.16
2.36,4.72,0.585,0.118,43.5,1.252,54.4611,36.5906,21.5808,0.0058109,2.36,2.36,4.7301,1.803,2.2247,-28.3296,5.9295,0.60361,2.36,2.36,6.5316,0.0,2.5419,1.9869,1.2933,139.99
2.36,4.72,0.585,0.118,50.7,1.252,63.4754,42.6469,25.1528,0.0058109,2.36,2.36,4.7301,1.803,2.2247,-28.3296,5.9295,0.60361,2.36,2.36,6.5316,0.0,2.1817,1.7047,1.1097,154.66
2.36,4.72,0.585,0.118,58.01,1.252,72.6274,48.7958,28.7794,0.0058109,2.36,2.36,4.7301,1.803,2.2247,-28.3296,5.9295,0.60361,2.36,2.36,6.5316,0.0,1.9068,1.48,0.96983,167.59
2.36,4.72,0.585,0.118,65.26,1.252,81.7042,54.8943,32.3762,0.0058109,2.36,2.36,4.7301,1.803,2.2247,-28.3296,5.9295,0.60361,2.36,2.36,6.5316,0.0,1.695,1.3244,0.86209,178.63
2.36,4.72,0.585,0.118,72.51,1.252,90.7811,60.9927,35.973,0.0058109,2.36,2.36,4.7301,1.803,2.2247,-28.3296,5.9295,0.60361,2.36,2.36,6.5316,0.0,1.5255,1.192,0.77589,188.05
2.36,4.72,0.585,0.118,79.77,1.252,99.8704,67.0995,39.5747,0.0058109,2.36,2.36,4.7301,1.803,2.2247,-28.3296,5.9295,0.60361,2.36,2.36,6.5316,0.0,1.3867,1.0835,0.70528,196.01
2.36,4.72,0.585,0.137,36.25,1.4536,52.6919,35.4019,20.8797,0.009094,2.36,2.36,5.4918,2.0933,2.5829,-28.3296,6.8842,0.70081,2.36,2.36,7.5833,0.0,4.0854,2.8816,1.5571,123.23
2.36,4.72,0.585,0.137,39.16,1.4536,56.9218,38.2438,22.5559,0.009094,2.36,2.36,5.4918,2.0933,2.5829,-28.3296,6.8842,0.70081,2.36,2.36,7.5833,0.0,3.7818,2.6674,1.4414,130.29
2.36,4.72,0.585,0.137,43.5,1.4536,63.2303,42.4823,25.0557,0.009094,2.36,2.36,5.4918,2.0933,2.5829,-28.3296,6.8842,0.70081,2.36,2.36,7.5833,0.0,3.4045,2.4013,1.2976,140.14
2.36,4.72,0.585,0.137,50.7,1.4536,73.696,49.5138,29.2028,0.009094,2.36,2.36,5.4918,2.0933,2.5829,-28.3296,6.8842,0.70081,2.36,2.36,7.5833,0.0,2.921,2.0603,1.1133,154.85
2.36,4.72,0.585,0.137,58.01,1.4536,84.3216,56.6528,33.4133,0.009094,2.36,2.36,5.4918,2.0933,2.5829,-28.3296,6.8842,0.70081,2.36,2.36,7.5833,0.0,2.5529,1.8007,0.97304,167.83
2.36,4.72,0.585,0.137,65.26,1.4536,94.86,63.7332,37.5893,0.009094,2.36,2.36,5.4918,2.0933,2.5829,-28.3296,6.8842,0.70081,2.36,2.36,7.5833,0.0,2.2693,1.6006,0.86494,178.92
2.36,4.72,0.585,0.137,72.51,1.4536,105.3984,70.8136,41.7652,0.009094,2.36,2.36,5.4918,2.0933,2.5829,-28.3296,6.8842,0.70081,2.36,2.36,7.5833,0.0,2.0424,1.4006,0.77846,188.39
2.36,4.72,0.585,0.137,79.77,1.4536,115.9513,77.9037,45.9469,0.009094,2.36,2.36,5.4918,2.0933,2.5829,-28.3296,6.8842,0.70081,2.36,2.36,7.5833,0.0,1.8565,1.3195,0.70761,196.39
2.36,4.72,0.585,0.157,36.25,1.6658,60.3842,40.5701,23.9279,0.013687,2.36,2.36,6.29599,2.3988,2.9599,-28.3296,7.8892,0.80311,2.36,2.36,8.6904,0.0,5.3207,3.4434,2.4096,135.53
2.36,4.72,0.585,0.157,39.16,1.6658,65.2316,43.8268,25.8487,0.013687,2.36,2.36,6.29599,2.3988,2.9599,-28.3296,7.8892,0.80311,2.36,2.36,8.6904,0.0,4.9253,3.1875,2.2306,144.38
2.36,4.72,0.585,0.157,43.5,1.6658,72.461,48.6841,28.7134,0.013687,2.36,2.36,6.29599,2.3988,2.9599,-28.3296,7.8892,0.80311,2.36,2.36,8.6904,0.0,4.4339,2.8695,2.008,157.08
2.36,4.72,0.585,0.157,50.7,1.6658,101.1122,67.9339,40.0668,0.013687,2.36,2.36,6.29599,2.3988,2.9599,-28.3296,7.8892,0.80311,2.36,2.36,8.6904,0.0,3.8043,2.462,1.7229,176.88
2.36,4.72,0.585,0.157,58.01,1.6658,96.6313,64.9233,38.2912,0.013687,2.36,2.36,6.29599,2.3988,2.9599,-28.3296,7.8892,0.80311,2.36,2.36,8.6904,0.0,3.3249,2.1517,1.5058,195.41
2.36,4.72,0.585,0.157,65.26,1.6658,108.7082,73.0373,43.0768,0.013687,2.36,2.36,6.29599,2.3988,2.9599,-28.3296,7.8892,0.80311,2.36,2.36,8.6904,0.0,2.9555,1.9127,1.3385,212.33
2.36,4.72,0.585,0.157,72.51,1.6658,120.785,81.1513,47.8623,0.013687,2.36,2.36,6.29599,2.3988,2.9599,-28.3296,7.8892,0.80311,2.36,2.36,8.6904,0.0,2.66,1.7214,1.2047,227.86
